name,location,rate_per_sqft,area_in_sqft,area_type,property_title,property_type,bhk_type,price_in_cr
swarnim sentossa,swarnim sentossa,5009,2250,super,swarnim sentossa,flat,3,
scarlet springs,scarlet springs,4377,1674,super,scarlet springs,flat,3,0.7328
suryansh sanidhya shivalaya,"sarkhej, sarkhej okaf, ahmedabad",3931,1080,super,suryansh sanidhya shivalaya,flat,2,0.4245
siddhi terrace skyline,memnagar,7198,2320,super,siddhi terrace skyline,flat,3,1.67
aadhya arambh,"ghatlodia, ahmedabad",,1604,carpet,aadhya arambh,flat,4,
arcus aura,vasna,,2178,super,arcus aura,flat,3,
sun citypark,"ghatlodia, ahmedabad",10123,978,carpet,sun citypark,flat,3,0.99
unique luxuria,"ghatlodia, ahmedabad",6111,2520,super,unique luxuria,flat,3,1.54
prayasam residency,"sola, ahmedabad",3288,4410,super,prayasam residency,flat,4,1.45
laxmi courtyard,"narol, ahmedabad",2469,1215,super,laxmi courtyard,flat,2,0.3
maitri elevate,"motera, ahmedabad",3704,3726,super,maitri elevate,flat,4,1.38
heritage villa 76,"kasindra, ahmedabad",3555,3798,built-up,heritage villa 76,house,4,1.35
mansi empire,"south bopal, ahmedabad",2889,1800,super,mansi empire,flat,3,0.52
raivat turquoise re 45,"linkin road, ahmedabad west",,2200,super,raivat turquoise re 45,flat,4,
gokul flora,ambawadi,,2445,super,gokul flora,flat,3,
trinay anagh,jodhpur,5159,3877,super,trinay anagh,flat,4,2
sampath villa,"kasindra, ahmedabad",5349,3384,super,sampath villa,house,5,1.81
divine skypark,"south bopal, ahmedabad",4676,1850,super,divine skypark,flat,3,0.865
sampath sky,"new ranip, ahmedabad",,2412,super,sampath sky,flat,3,
savya skyz 2,"motera, ahmedabad",8061,918,carpet,savya skyz 2,flat,3,0.74
dharti skyline,"jagatpur, ahmedabad",3500,1800,super,dharti skyline,flat,3,0.63
vashikaa embark,"chandkheda, ahmedabad",,1350,super,vashikaa embark,flat,2,
greenvilla bliss,"science city, ahmedabad",5632,2610,super,greenvilla bliss,flat,3,1.47
anamika high point,anamika high point,16312,2237,super,anamika high point,flat,4,
safalam luxuria,safalam luxuria,5003,3240,super,safalam luxuria,flat,4,
suryansh sanidhya shivalaya,sarkhej,3931,1080,super,suryansh sanidhya shivalaya,flat,2,0.4245
aadhya arambh,ghatlodia,,1604,carpet,aadhya arambh,flat,4,
sun citypark,ghatlodia,10123,978,carpet,sun citypark,flat,3,0.99
unique luxuria,ghatlodia,6111,2520,super,unique luxuria,flat,3,1.54
prayasam residency,sola,3288,4410,super,prayasam residency,flat,4,1.45
laxmi courtyard,narol,2469,1215,super,laxmi courtyard,flat,2,0.3
maitri elevate,motera,3704,3726,super,maitri elevate,flat,4,1.38
heritage villa 76,kasindra,3555,3798,built-up,heritage villa 76,house,4,1.35
mansi empire,south bopal,2889,1800,super,mansi empire,flat,3,0.52
raivat turquoise re 45,linkin road,,2200,super,raivat turquoise re 45,flat,4,
sampath villa,kasindra,5349,3384,super,sampath villa,house,5,1.81
divine skypark,south bopal,4676,1850,super,divine skypark,flat,3,0.865
sampath sky,new ranip,,2412,super,sampath sky,flat,3,
savya skyz 2,motera,8061,918,carpet,savya skyz 2,flat,3,0.74
dharti skyline,jagatpur,3500,1800,super,dharti skyline,flat,3,0.63
vashikaa embark,chandkheda,,1350,super,vashikaa embark,flat,2,
greenvilla bliss,science city,5632,2610,super,greenvilla bliss,flat,3,1.47
shubham anthem,shela,1865,4075,super,shubham anthem,flat,4,0.76
venus planet,shela,8687,841,carpet,venus planet,flat,3,0.7306
bellevue vieraaa by davda infra,"bavla, ahmedabad",,,super,bellevue vieraaa by davda infra,house,4,1.18
maitri lake view,zundal,,1215,super,maitri lake view,flat,2,
vashikaa param,chandkheda,4497,1890,super,vashikaa param,flat,3,0.85
kavisha the portrait,shela,,3767,carpet,kavisha the portrait,flat,4,
vishwanath maher select,shela,,869,carpet,vishwanath maher select,flat,3,
the sovereign,thaltej,4215,10201,super,the sovereign,flat,5,4.3
adani belrosa,adani shantigram,7017,6912,carpet,adani belrosa,flat,6,4.85
trogon centre court,vaishnodevi circle,7487,3406,built-up,trogon centre court,flat,5,2.55
sharanya skyvue,thaltej,,3610,carpet,sharanya skyvue,flat,5,
shilp residency,gota,,5045,super,shilp residency,flat,4,
hn riviera bliss,south bopal,4838,3121,carpet,hn riviera bliss,flat,5,1.51
roseate roots,jan,,,built-up,roseate roots,house,2,0.7
goyal orchid finsbury,shilaj,,885,super,goyal orchid finsbury,flat,3,
satyamev royal 4,chandkheda,,858,carpet,satyamev royal 4,flat,3,
shilp skyline,adani shantigram,,1862,carpet,shilp skyline,flat,4,
